"","Var1","Freq"
"569","광주광역시 남구 봉선중앙로124번길",4
"570","광주광역시 남구 봉선중앙로131번길",2
"571","광주광역시 남구 봉선중앙로134번길",4
"572","광주광역시 남구 봉선중앙로47번길",5
"573","광주광역시 남구 봉선중앙로67번길",7
"574","광주광역시 남구 봉선중앙로68번길",3
"575","광주광역시 남구 봉선중앙로82번길",1
"576","광주광역시 남구 봉선중앙로91번길",7
"577","광주광역시 남구 봉주2길",2
"578","광주광역시 남구 봉주7길",1
"579","광주광역시 남구 봉주길",4
"580","광주광역시 남구 불로마을길",3
"581","광주광역시 남구 사직길",10
"582","광주광역시 남구 산남로",1
"583","광주광역시 남구 서남길",1
"584","광주광역시 남구 서동로",5
"585","광주광역시 남구 서문대로",117
"586","광주광역시 남구 서문대로229번길",1
"587","광주광역시 남구 서문대로473번길",1
"588","광주광역시 남구 서문대로499번길",1
"589","광주광역시 남구 서문대로556번길",6
"590","광주광역시 남구 서문대로622번길",6
"591","광주광역시 남구 서문대로627번길",9
"592","광주광역시 남구 서문대로627번안길",7
"593","광주광역시 남구 서문대로654번길",5
"594","광주광역시 남구 서문대로663번길",24
"595","광주광역시 남구 서문대로701번길",8
"596","광주광역시 남구 서문대로749번가길",2
"597","광주광역시 남구 서문대로749번길",19
"598","광주광역시 남구 서문대로749번나길",1
"599","광주광역시 남구 서문대로749번라길",1
"600","광주광역시 남구 서문대로749번마길",1
"601","광주광역시 남구 서문대로751번길",3
"602","광주광역시 남구 서문대로801번길",1
"603","광주광역시 남구 서문대로817번길",2
"604","광주광역시 남구 서문대로823번길",3
"605","광주광역시 남구 서문대로824번길",3
"606","광주광역시 남구 서서평길",4
"607","광주광역시 남구 서오층석탑길",2
"608","광주광역시 남구 송암로",10
"609","광주광역시 남구 송암로24번길",1
"610","광주광역시 남구 송암로42번길",1
"611","광주광역시 남구 송암로76번길",1
"612","광주광역시 남구 송암로98번길",1
"613","광주광역시 남구 수박등로",7
"614","광주광역시 남구 수박등로5번길",3
"615","광주광역시 남구 신만산길",5
"616","광주광역시 남구 신장1안길",1
"617","광주광역시 남구 신효천2길",2
"618","광주광역시 남구 신효천3길",1
"619","광주광역시 남구 양림로",24
"620","광주광역시 남구 양촌길",1
"621","광주광역시 남구 오기원길",8
"622","광주광역시 남구 오방로",5
"623","광주광역시 남구 오방로109번길",1
"624","광주광역시 남구 옹정길",3
"625","광주광역시 남구 용대로",58
"626","광주광역시 남구 용대로119번길",3
"627","광주광역시 남구 용대로183번길",2
"628","광주광역시 남구 용대로183번안길",2
"629","광주광역시 남구 용대로53번길",17
"630","광주광역시 남구 원효천1길",1
"631","광주광역시 남구 월광길",4
"632","광주광역시 남구 월산로",33
"633","광주광역시 남구 월산로123번길",2
"634","광주광역시 남구 월산로151번길",17
"635","광주광역시 남구 월산로151번안길",2
"636","광주광역시 남구 월산로77번길",3
